co_localite_pj|co_localite_insse|co_localite_insee_pj|lib_commune|principale
00503320|05000|00503320|Chantemerle Serre Chevalier|0
00503333|05064|05064|La Chapelle en Valgaudémar|1
00503350|05000|00503350|La Chapelue|0
00503360|05000|00503360|Château Queyras|0
00503370|05038|05038|Château Ville Vieille|1
00503400|05034|05034|Châteauneuf de Chabre|1
00503500|05035|05035|Châteauneuf d'Oze|1
00503600|05036|05036|Châteauroux les Alpes|1
00503700|05037|05037|Châteauvieux|1
00503900|05039|05039|Chauffayer|1
00504000|05040|05040|Chorges|1
00504050|05000|00504050|Les Clots|0
00504100|05042|05042|La Cluse|1
00504110|05000|00504110|Col Bayard|0
00504120|05000|00504120|Col de Manse|0
00504130|05000|00504130|Refuge du Col de Vars|0
00504140|05000|00504140|Col des Tourettes|0
00504150|05007|00504150|Col de l'Isoard|0
00504160|05000|00504160|Col du Festre|0
00504170|05000|00504170|Col du Galibier Refuge|0
00504200|05079|00504200|Col du Lautaret|0
00504240|05000|00504240|Col du Noyer|0
00504270|05000|00504270|Correo|0
00504300|05043|05043|Les Costes|1
00504400|05044|05044|Crévoux|1
00504520|05045|05045|Crots|1
00504560|05000|00504560|Dormillouse|0
00504600|05046|05046|Embrun|1
00504700|05047|05047|Eourres|1
00504800|05048|05048|L'Epine|1
00504900|05049|05049|Esparron|1
00505000|05050|05050|Espinasses|1
00505150|05051|05051|Etoile Saint Cyrice|1
00505200|05052|05052|Eygliers|1
00505300|05053|05053|Eyguians|1
00505400|05054|05054|La Fare en Champsaur|1
00505500|05055|05055|La Faurie|1
00505530|05000|00505530|Fayes|0
00505560|05000|00505560|Fontgillarde|0
00505600|05056|05056|Forest Saint Julien|1
00505700|05057|05057|Fouillouse|1
00505900|05059|05059|La Freissinouse|1
00505950|05058|05058|Freissinières|1
00506000|05060|05060|Furmeyer|1
00506100|05061|05061|Gap|1
00506130|05000|00506130|Les Garnauds|0
00506160|05000|00506160|Glaize|0
00506200|05062|05062|Le Glaizil|1
00506300|05063|05063|La Grave|1
00506500|05065|05065|Guillestre|1
00506530|05000|00506530|La Guinguette|0
00506560|05000|00506560|Haut Vitrolles|0
00506600|05000|00506600|La Haute Beaume|0
00506700|05067|05067|Les Infournas|1
00506800|05068|05068|Jarjayes|1
00506850|05002|00506850|La Joue du Loup|0
00506900|05069|05069|Lagrand|1
00507000|05070|05070|Laragne Montéglin|1
00507100|05071|05071|Lardier et Valença|1
00507130|05000|00507130|Le Laus|0
00507160|05000|00507160|Le Lauzet|0
00507200|05072|05072|Laye|1
00507300|05073|05073|Lazer|1
00507400|05074|05074|Lettret|1
00507460|05000|00507460|La Madeleine|0
00507480|05000|00507480|La Maison du Roy|0
00507500|05075|05075|Manteyer|1
00507600|05076|05076|Méreuil|1
00507650|05000|00507650|Merlette|0
00507680|05000|00507680|Meyries|0
00507700|05077|05077|Molines en Queyras|1
00507800|05078|05078|Monêtier Allemont|1
00507900|05079|05079|Le Monêtier-les-Bains|1
00508200|05082|05082|Mont Dauphin|1
00508220|05000|00508220|Montbardon|0
00508240|05080|05080|Montbrand|1
00508260|05081|05081|Montclus|1
00508400|05084|05084|Montgardin|1
00508500|05085|05085|Montgenèvre|1
00508600|05086|05086|Montjay|1
00508700|05087|05087|Montmaur|1
